AccountID,AnniversaryDate
141,9/17/14
142,8/20/16
143,12/23/08
144,2/25/07
145,7/24/16
146,9/16/17
147,8/12/09
148,12/31/15
149,2/17/02
150,6/5/06
151,3/5/06
152,9/10/09
153,12/17/17
154,5/3/12
155,4/25/09
156,7/1/02
157,4/4/16
158,10/22/08
159,8/17/10
160,8/15/13
161,3/3/01
162,5/31/04
163,9/24/00
164,7/20/14
165,11/14/11
166,10/16/06
167,5/22/14
168,1/8/14
169,11/15/03
170,10/29/03
171,9/15/11
172,2/14/21
173,5/1/03
174,3/4/17
175,11/25/20
176,1/31/05
177,3/19/20
178,3/9/22
179,2/6/01
180,7/23/20
181,11/23/21
182,4/17/17
183,9/10/11
184,8/5/15
185,1/31/11
186,3/20/14
187,3/24/16
188,11/26/03
189,9/8/13
190,4/2/05
191,12/23/08
192,10/30/04
193,3/29/10
194,10/6/07
195,10/16/10
196,1/5/11
197,9/20/21
198,1/2/20
199,4/19/02
200,11/1/20
201,12/28/11
202,4/16/12
203,4/21/12
204,7/14/11
205,7/2/14
206,6/11/01
207,10/19/14
208,6/5/14
209,9/22/03
210,1/18/03
211,8/18/14
212,8/26/21
213,7/26/17
214,3/19/01
215,1/13/11
216,8/9/03
217,12/15/06
218,8/30/02
219,4/3/09
220,4/13/09
221,2/12/16
222,6/15/02
223,7/23/09
224,3/22/05
225,5/28/05
226,7/19/18
227,8/6/12
228,3/25/06
229,10/15/06
230,3/20/06
231,6/4/10
232,5/10/11
233,3/12/17
234,5/7/17
235,1/20/04
236,5/12/19
237,10/7/16
238,10/5/05
239,9/18/17
240,6/12/03
241,10/1/16
242,9/17/06
243,2/14/05
244,6/18/14
245,4/27/18
246,1/3/08
247,5/10/15
248,2/29/12
249,7/15/09
250,2/25/14
251,10/31/14
252,9/30/07
253,3/17/20
254,1/31/20
255,8/5/07
256,3/24/07
257,3/6/17
258,6/4/18
259,6/2/07
260,8/10/13
261,6/27/05
262,12/31/12
263,3/5/02
264,12/17/10
265,2/19/04
266,1/31/16
267,7/8/18
268,1/15/04
269,4/29/05
270,10/26/21
271,11/3/07
272,4/3/11
273,1/18/16
274,6/19/00
275,11/8/14
276,1/13/11
277,10/22/13
278,9/23/20
279,4/8/18
280,2/23/14
281,7/5/15
282,1/31/18
283,8/27/19
284,5/1/02
285,5/11/10
286,7/27/05
287,7/4/13
288,5/28/20
289,10/15/21
290,6/3/09
291,3/24/17
292,6/28/07
293,5/31/19
294,4/20/05
295,2/1/21
296,1/13/04
297,10/11/21
298,11/9/14
299,2/25/02
300,1/11/00
301,2/4/21
302,4/17/12
303,6/12/17
304,5/9/11
305,1/4/11
306,11/7/12
307,12/20/16
308,6/9/06
309,10/4/18
310,4/22/16
311,5/23/18
312,2/1/01
313,10/27/20
314,12/22/14
315,3/4/09
316,9/28/05
317,3/12/07
318,7/11/21
319,4/10/02
320,4/23/09
321,9/9/00
322,2/11/05
323,12/17/12
324,9/26/06
325,2/4/02
326,11/5/17
327,3/1/13
328,10/2/19
329,3/17/00
330,2/8/03
331,4/4/03
332,2/25/12
333,11/5/09
334,9/14/02
335,6/19/06
336,6/3/21
337,9/14/03
338,5/31/17
339,4/26/01
340,7/10/12
341,9/12/13
342,10/25/19
343,9/15/12
344,3/16/14
345,12/9/05
346,5/21/14
347,2/8/15
348,6/24/11
349,6/14/02
350,6/25/13
351,8/10/20
352,11/13/01
353,5/23/15
354,3/28/06
355,3/27/10
356,4/27/14
357,2/8/01
358,8/8/17
359,11/22/00
360,3/23/17
361,7/30/07
362,8/16/20
363,9/6/03
364,2/1/19
365,8/16/16
366,2/19/13
367,2/9/20
368,1/19/11
369,5/25/08
370,1/17/00
371,7/1/06
372,3/11/22
373,3/18/11
374,3/12/00
375,5/12/20
376,4/16/19
377,9/6/10
378,6/20/13
379,1/30/08
380,6/19/11
381,2/11/07
382,11/27/16
383,9/23/06
384,5/25/00
385,5/12/14
386,2/13/08
387,10/11/11
388,3/1/08
389,3/11/16
390,6/25/06
391,6/24/19
392,1/3/11
393,4/12/02
394,8/15/12
395,4/18/00
396,5/2/05
397,1/25/01
398,12/25/08
399,7/27/02
400,11/5/18
401,5/21/17
402,12/9/11
403,5/29/13
404,11/25/14
405,12/5/01
406,11/22/12
407,5/7/08
408,5/29/06
409,6/27/03
410,11/10/16
411,9/10/20
412,2/23/01
413,7/6/13
414,12/30/07
415,9/18/10
416,5/11/20
417,7/27/04
418,11/1/20
419,9/7/18
420,1/7/19
421,9/8/20
422,2/27/12
423,2/23/14
424,8/7/08
425,4/27/15
426,4/23/22
427,12/1/07
428,1/10/02
429,2/16/02
430,8/31/05
431,2/26/10
432,3/13/22
433,5/26/16
434,1/4/14
435,8/6/07
436,8/21/20
437,6/3/02
438,5/19/05
439,2/3/07
440,12/14/21
441,10/17/03
442,4/21/11
443,10/13/11
444,6/27/05
445,8/10/05
446,10/25/10
447,2/15/19
448,3/19/15
449,8/19/15
450,1/4/07
451,11/16/10
452,12/12/04
453,9/9/03
454,9/18/19
455,10/9/17
456,11/26/08
457,3/20/08
458,5/24/12
459,8/19/12
460,6/14/20
461,1/24/11
462,3/28/02
463,7/28/13
464,7/5/09
465,8/31/19
466,10/31/15
467,10/10/17
468,11/23/18
469,12/6/00
470,12/14/08
471,10/7/14
472,6/20/07
473,2/16/14
474,12/26/09
475,8/14/13
476,8/22/05
477,9/19/18
478,2/10/22
479,8/30/17
480,7/4/01
481,11/7/00
482,1/26/07
483,2/26/05
484,3/2/15
485,6/20/14
486,3/26/18
487,3/15/19
488,8/10/08
489,4/24/22
490,1/15/20
491,4/10/05
492,10/29/03
493,10/21/03
494,12/26/20
495,5/26/02
496,10/16/03
497,7/14/01
498,5/26/08
499,11/18/07
500,9/3/18
501,5/26/16
502,6/12/10
503,8/12/08
504,10/24/16
505,8/18/09
506,4/16/20
507,12/8/01
508,1/16/12
509,12/14/00
510,8/18/19
511,6/12/07
512,9/10/07
513,8/1/05
514,10/22/03
515,12/26/06
516,11/4/19
517,12/7/10
518,10/25/16
519,10/11/00
520,7/20/07
521,10/28/10
522,7/3/10
523,8/6/12
524,7/28/03
525,4/24/19
526,10/14/02
527,7/16/00
528,7/26/09
529,1/4/15
530,2/25/17
531,6/16/20
532,9/7/17
533,5/5/12
534,4/22/15
535,7/20/03
536,6/30/03
537,9/28/13
538,1/12/20
539,1/23/15
540,12/8/05
541,11/14/18
542,7/16/07
543,6/24/03
544,5/12/07
545,9/20/00
546,5/27/15
547,12/21/19
548,3/15/20
549,6/15/11
550,9/28/14
551,11/18/21
552,11/17/04
553,10/18/03
554,8/20/20
555,8/11/11
556,8/19/07
557,9/22/14
558,10/24/13
559,5/17/17
560,3/16/12
561,12/9/10
562,12/31/10
563,12/21/08
564,2/26/20
565,1/3/04
566,5/2/12
567,2/2/22
568,2/1/00
569,8/29/04
570,3/4/11
571,12/9/07
572,7/28/19
573,10/12/18
574,12/30/14
575,12/31/18
576,4/25/10
577,2/28/12
578,9/18/20
579,3/28/09
580,10/29/14
581,12/17/14
582,6/18/03
583,4/1/14
584,7/18/18
585,9/21/15
586,4/29/15
587,5/8/12
588,3/12/12
589,3/2/11
590,2/5/22
591,6/24/04
592,9/2/11
593,6/23/15
594,6/11/07
595,2/21/18
596,1/10/02
597,12/14/05
598,5/28/13
599,3/4/20
600,8/22/09
601,5/13/10
602,3/30/01
603,6/16/05
604,7/22/06
605,6/29/10
606,3/7/10
607,12/2/16
608,9/10/19
609,4/2/17
610,6/25/15
611,10/10/07
612,11/6/14
613,3/20/04
614,2/4/00
615,1/21/09
616,11/14/03
617,5/13/13
618,12/10/19
619,8/31/01
620,11/5/14
621,10/1/21
622,7/5/02
623,7/22/13
624,1/14/10
625,8/2/01
626,4/18/06
627,2/12/18
628,2/12/15
629,12/27/00
630,8/28/16
631,4/6/21
632,4/25/02
633,11/1/19
634,1/27/04
635,12/25/15
636,9/3/04
637,1/4/16
638,5/1/00
639,11/18/16
640,9/3/02
641,6/5/20
642,11/1/15
643,10/16/15
644,9/8/09
645,4/25/11
646,11/8/03
647,2/5/17
648,9/1/21
649,10/7/11
650,7/26/03
651,11/7/15
652,6/20/07
653,9/21/06
654,6/1/15
655,9/20/12
656,3/10/09
657,3/16/03
658,5/12/07
659,12/28/12
660,11/16/08
661,1/3/14
662,2/8/00
663,8/22/20
664,5/3/18
665,11/16/05
666,7/27/01
667,3/14/02
668,5/9/20
669,11/4/10
670,6/12/02
671,6/29/13
672,1/23/21
673,10/25/13
674,10/24/06
675,3/28/01
676,10/1/04
677,1/23/19
678,8/30/13
679,9/21/02
680,10/8/19
681,10/28/00
682,3/12/03
683,3/6/12
684,3/26/00
685,2/11/20
686,10/21/06
687,10/27/04
688,8/20/13
689,11/11/20
690,7/17/08
691,9/10/01
692,7/19/00
693,6/30/10
694,1/4/19
695,9/24/11
696,1/17/15
697,3/7/08
698,12/25/13
699,6/7/21
700,6/16/20
701,3/9/17
702,2/21/09
703,4/28/21
704,7/30/06
705,5/5/19
706,8/30/13
707,1/8/18
708,2/10/10
709,6/22/10
710,10/9/02
711,5/20/11
712,10/26/00
713,4/19/20
714,3/8/13
715,2/22/07
716,11/19/13
717,5/18/04
718,11/7/15
719,1/5/13
720,6/25/10
721,10/27/20
722,8/7/07
723,7/12/07
724,8/3/16
725,8/5/13
726,11/7/02
727,7/17/11
728,1/16/00
729,3/28/03
730,10/31/03
731,8/28/21
732,4/20/13
733,8/9/01
734,5/1/11
735,1/3/15
736,5/24/20
737,12/28/00
738,12/19/06
739,11/17/08
740,11/15/11
741,7/6/20
742,6/17/07
743,11/12/07
744,9/10/17
745,7/1/10
746,2/4/03
747,3/6/18
748,1/31/13
749,1/19/02
750,1/6/12
751,12/22/00
752,2/19/15
753,10/11/01
754,7/22/10
755,1/5/03
756,3/8/21
757,4/8/12
758,7/27/06
759,11/14/18
760,11/24/01
761,12/20/13
762,9/12/15
763,10/17/16
764,4/19/09
765,6/17/03
766,6/29/19
767,11/26/08
768,12/16/01
769,8/20/03
770,5/21/11
771,5/17/13
772,2/25/01
773,10/19/14
774,5/10/12
775,5/27/19
776,5/18/19
777,3/21/06
778,11/28/21
779,9/4/21
780,10/21/04
781,11/10/17
782,10/24/00
783,7/6/04
784,12/4/18
785,11/17/02
786,3/11/13
787,10/7/00
788,10/17/14
789,11/19/01
790,6/26/20
791,8/9/13
792,3/23/10
793,1/28/04
794,7/15/07
795,3/5/20
796,1/24/22
797,3/2/02
798,9/23/01
799,5/10/10
800,2/19/08
801,8/29/19
802,11/6/08
803,10/29/14
804,7/17/05
805,10/18/05
806,3/16/19
807,12/22/07
808,12/3/07
809,10/19/21
810,8/25/12
811,7/18/17
812,8/23/18
813,7/15/04
814,2/11/15
815,11/30/04
816,1/18/01
817,3/23/20
818,12/3/12
819,8/11/03
820,7/1/01
821,1/13/12
822,10/5/14
823,1/31/12
824,6/21/09
825,3/21/19
826,12/9/10
827,12/13/20
828,6/28/06
829,8/27/09
830,10/29/18
831,12/4/15
832,2/24/01
833,4/7/13
834,2/22/13
835,11/29/18
836,6/26/18
837,7/30/14
838,12/18/00
839,3/14/00
840,1/23/16
841,1/26/19
842,4/12/03
843,7/17/04
844,10/31/12
845,7/19/18
846,6/19/00
847,7/24/04
848,6/5/04
849,7/1/05
850,4/20/21
851,9/24/08
852,2/17/17
853,8/26/09
854,1/18/08
855,10/27/11
856,3/11/02
857,2/26/06
858,10/25/12
859,5/25/00
860,12/8/03
861,4/18/19
862,6/13/05
863,3/11/07
864,2/20/06
865,4/18/20
866,7/28/03
867,1/9/00
868,3/6/14
869,1/4/07
870,4/23/18
871,10/19/07
872,9/28/01
873,1/20/09
874,9/25/18
875,5/3/00
876,11/8/21
877,4/16/03
878,9/14/18
879,1/9/03
880,10/12/18
881,1/25/18
882,9/28/10
883,9/16/08
884,8/27/17
885,7/13/16
886,1/18/14
887,5/14/00
888,7/19/03
889,4/27/17
890,9/30/02
891,5/19/17
892,1/21/07
893,12/21/00
894,6/20/06
895,12/9/20
896,1/12/20
897,3/21/20
898,7/19/14
899,9/23/04
900,1/3/17
901,3/13/09
902,4/22/02
903,4/5/15
904,8/16/05
905,3/13/19
906,3/8/07
907,4/29/09
908,7/17/20
909,7/7/20
910,6/29/05
911,9/3/11
912,9/10/03
913,8/6/09
914,6/9/19
915,8/10/03
916,9/17/02
917,3/30/13
918,2/3/12
919,1/31/12
920,11/2/05
921,2/27/00
922,7/8/10
923,7/8/04
924,5/9/16
925,12/22/07
926,4/9/15
927,4/25/19
928,6/16/18
929,4/14/05
930,11/15/12
931,1/15/20
932,4/14/07
933,7/8/01
934,10/17/10
935,9/24/12
936,11/17/15
937,4/5/05
938,6/2/07
939,11/9/15
940,1/20/16
941,4/29/08
942,4/29/05
943,7/5/19
944,2/28/13
945,9/8/20
946,6/19/05
947,2/2/05
948,2/19/10
949,9/2/17
950,8/22/19
951,3/13/11
952,3/19/16
953,4/11/09
954,1/21/22
955,8/15/16
956,3/25/21
957,9/19/10
958,4/20/01
959,5/28/21
960,2/15/06
961,4/3/03
962,7/9/16
963,11/6/10
964,8/18/14
965,6/6/21
966,5/22/17
967,9/26/18
968,11/6/18
969,7/10/07
970,9/7/15
971,4/17/18
972,5/22/12
973,3/5/16
974,9/4/14
975,9/4/13
976,11/9/09
977,8/28/12
978,9/24/07
979,10/19/05
980,3/10/14
981,8/19/15
982,10/27/08
983,7/23/20
984,2/6/04
985,5/10/03
986,4/12/06
987,6/2/17
988,11/28/04
989,8/21/18
990,5/15/07
991,4/1/07
992,1/24/13
993,1/14/13
994,8/5/10
995,10/8/05
996,9/30/04
997,9/14/04
998,8/9/21
999,8/3/18
1000,9/8/14
